Address	size	lot size	bedrooms	bathroom	built year	Age	units	address	Ask Price	Link	Sold Price
25-27 Morrell	1888		4	2	1923	98	2	nobhill	1750000	https://www.redfin.com/CA/San-Francisco/25-Morrell-St-94109/home/545721	
1133 - 1135 Judah St	2472		4	2	1946	75	2	sunset	1698000	https://www.redfin.com/CA/San-Francisco/1133-Judah-St-94122/home/923511	
1572-1576 Bush St	5113	1754	12	4	1907	114		eastbush	1750000	https://www.redfin.com/CA/San-Francisco/1572-Bush-St-94109/home/1296528	
500 - 502 Andover St	2658		4	2	1963	58		bernalheights	1795000	https://www.redfin.com/CA/San-Francisco/500-Andover-St-94110/home/1885573	
916 - 920 Clay St	3681	1337	12	2	1907	114	3	chinatown	1675000	https://www.redfin.com/CA/San-Francisco/916-Clay-St-94108/home/1088750	
51 - 55 Webster St	3069	1947	6	3.5	1900	121	3	hayesvalley	1995000	https://www.redfin.com/CA/San-Francisco/51-Webster-St-94117/home/582087	
1012 Page St	3780		7	4	1908	113		lowerhaight	1595000	https://www.redfin.com/CA/San-Francisco/1012-Page-St-94117/home/1323952	
437 - 443 Austin St	5661	1873	12	2	1900	121	4		2000000	https://www.redfin.com/CA/San-Francisco/437-Austin-St-94109/home/569316	2000000
1127 Filbert St, San Francisco, CA 94109	3329	1350	5	4.5	1929	92	3		2850000	https://www.redfin.com/CA/San-Francisco/1127-Filbert-St-94109/home/1347848	
630 - 632 Anza St, San Francisco, CA 94118	2070	940	5	2	1932	89	2		2098000	https://www.redfin.com/CA/San-Francisco/630-Anza-St-94118/home/1979476	
1068 - 1072 Pacific Ave, San Francisco, CA 94133	3010	1250	9	5	1907	114	5		1800000	https://www.redfin.com/CA/San-Francisco/1068-Pacific-Ave-94133/home/1161340	
1876 - 78 Bush St, San Francisco, CA 94109	3270	3781	5	4			2	eastbush	1950000	https://www.redfin.com/CA/San-Francisco/1876-Bush-St-94109/home/2030536	
